psc_code,psc_name
10,WEAPONS
1005,"GUNS, THROUGH 30MM"
1010,"GUNS, OVER 30MM UP TO 75MM"
1015,"GUNS, 75MM THROUGH 125MM"
1020,"GUNS, OVER 125MM THROUGH 150MM"
1025,"GUNS, OVER 150MM THROUGH 200MM"
1030,"GUNS, OVER 200MM THROUGH 300MM"
1035,"GUNS, OVER 300MM"
1040,CHEMICAL WEAPONS AND EQUIPMENT
1045,"LAUNCHERS, TORPEDO AND DEPTH CHARGE"
1055,"LAUNCHERS, ROCKET AND PYROTECHNIC"
1070,"NETS AND BOOMS, ORDNANCE"
1075,DEGAUSSING AND MINE SWEEPING EQUIPMENT
1080,CAMOUFLAGE AND DECEPTION EQUIPMENT
1090,ASSEMBLIES INTERCHANGEABLE BETWEEN WEAPONS IN TWO OR MORE CLASSES
1095,MISCELLANEOUS WEAPONS
11,NUCLEAR ORDNANCE
1105,NUCLEAR BOMBS
1110,NUCLEAR PROJECTILES
1115,NUCLEAR WARHEADS AND WARHEAD SECTIONS
1120,NUCLEAR DEPTH CHARGES
1125,NUCLEAR DEMOLITION CHARGES
1127,NUCLEAR ROCKETS
1130,"CONVERSION KITS, NUCLEAR ORDNANCE"
1135,"FUZING AND FIRING DEVICES, NUCLEAR ORDNANCE"
1140,NUCLEAR COMPONENTS
1145,"EXPLOSIVE AND PYROTECHNIC COMPONENTS, NUCLEAR ORDNANCE"
1190,"SPECIALIZED TEST AND HANDLING EQUIPMENT, NUCLEAR ORDNANCE"
1195,MISCELLANEOUS NUCLEAR ORDNANCE
12,FIRE CONTROL EQPT.
1210,FIRE CONTROL DIRECTORS
1220,FIRE CONTROL COMPUTING SIGHTS AND DEVICES
1230,"FIRE CONTROL SYSTEMS, COMPLETE"
1240,OPTICAL SIGHTING AND RANGING EQUIPMENT
1250,FIRE CONTROL STABILIZING MECHANISMS
1260,FIRE CONTROL DESIGNATING AND INDICATING EQUIPMENT
1265,"FIRE CONTROL TRANSMITTING AND RECEIVING EQUIPMENT, EXCEPT AIRBORNE"
1270,AIRCRAFT GUNNERY FIRE CONTROL COMPONENTS
1280,AIRCRAFT BOMBING FIRE CONTROL COMPONENTS
1285,"FIRE CONTROL RADAR EQUIPMENT, EXCEPT AIRBORNE"
